StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please choose your name from the list,Please pick your time availability - Date 1,Please pick your time availability - Date 2
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}"
2026-08-13 09:01:00,2026-08-13 09:02:00,IP Address,,100,46,True,2026-08-13 09:02:10,R_SAMPLE_001,Adler,Ilan,faculty01@example.edu,,,,email,EN,Ilan Adler,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:02:00,2026-08-13 09:03:00,IP Address,,100,47,True,2026-08-13 09:03:10,R_SAMPLE_002,Aswani,Anil,faculty02@example.edu,,,,email,EN,Anil Aswani,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:03:00,2026-08-13 09:04:00,IP Address,,100,48,True,2026-08-13 09:04:10,R_SAMPLE_003,Atamturk,Alper,faculty03@example.edu,,,,email,EN,Alper Atamturk,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:04:00,2026-08-13 09:05:00,IP Address,,100,49,True,2026-08-13 09:05:10,R_SAMPLE_004,Cui,Ying,faculty04@example.edu,,,,email,EN,Ying Cui,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:05:00,2026-08-13 09:06:00,IP Address,,100,50,True,2026-08-13 09:06:10,R_SAMPLE_005,Fleming,Lee,faculty05@example.edu,,,,email,EN,Lee Fleming,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:06:00,2026-08-13 09:07:00,IP Address,,100,51,True,2026-08-13 09:07:10,R_SAMPLE_006,Goldberg,Ken,faculty06@example.edu,,,,email,EN,Ken Goldberg,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:07:00,2026-08-13 09:08:00,IP Address,,100,52,True,2026-08-13 09:08:10,R_SAMPLE_007,Grigas,Paul,faculty07@example.edu,,,,email,EN,Paul Grigas,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:08:00,2026-08-13 09:09:00,IP Address,,100,53,True,2026-08-13 09:09:10,R_SAMPLE_008,Guo,Xin,faculty08@example.edu,,,,email,EN,Xin Guo,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:09:00,2026-08-13 09:10:00,IP Address,,100,54,True,2026-08-13 09:10:10,R_SAMPLE_009,Hochbaum,Dorit,faculty09@example.edu,,,,email,EN,Dorit Hochbaum,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:10:00,2026-08-13 09:11:00,IP Address,,100,55,True,2026-08-13 09:11:10,R_SAMPLE_010,Jia,Huiwen,faculty10@example.edu,,,,email,EN,Huiwen Jia,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:11:00,2026-08-13 09:12:00,IP Address,,100,56,True,2026-08-13 09:12:10,R_SAMPLE_011,M. Kaminsky,Philip,faculty11@example.edu,,,,email,EN,Philip M. Kaminsky,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:12:00,2026-08-13 09:13:00,IP Address,,100,57,True,2026-08-13 09:13:10,R_SAMPLE_012,Kerger,Phillip,faculty12@example.edu,,,,email,EN,Phillip Kerger,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:13:00,2026-08-13 09:14:00,IP Address,,100,58,True,2026-08-13 09:14:10,R_SAMPLE_013,Lavaei,Javad,faculty13@example.edu,,,,email,EN,Javad Lavaei,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:14:00,2026-08-13 09:15:00,IP Address,,100,59,True,2026-08-13 09:15:10,R_SAMPLE_014,Mastrolia,Thibaut,faculty14@example.edu,,,,email,EN,Thibaut Mastrolia,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:15:00,2026-08-13 09:16:00,IP Address,,100,60,True,2026-08-13 09:16:10,R_SAMPLE_015,Pirutinsky,Daniel,faculty15@example.edu,,,,email,EN,Daniel Pirutinsky,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:16:00,2026-08-13 09:17:00,IP Address,,100,61,True,2026-08-13 09:17:10,R_SAMPLE_016,Righter,Rhonda,faculty16@example.edu,,,,email,EN,Rhonda Righter,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:17:00,2026-08-13 09:18:00,IP Address,,100,62,True,2026-08-13 09:18:10,R_SAMPLE_017,Udwani,Rajan,faculty17@example.edu,,,,email,EN,Rajan Udwani,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
